字	câu	wskazowka	mot	phrase	indication	word	sentence	słowo	zdanie	palabra	frases
硬盘											
永远	友谊永远。										
天长地久	他说天长地久永远爱她										
勇敢	我觉得他非常勇敢。										
幽默	他没有幽默感。										
尤其	这是尤其重要。										
于	我生于纽约。										
旧金山											
友好	我的老师很友好。										
优秀	她是一个优秀作家。										
优点											
愉快	祝你一路上玩得愉快。										
羽毛球	羽毛球有些像网球吗？										
样子	哥哥和弟弟的样子一点也不像										
取笑	不要取笑我。										
土耳其											
允许	这里允许怕招吗？	我都不清楚允许在视频里喝酒。									
暂时	我的工作是暂时的。										
原因	你不想知道原因吗？										
整	你说了一整晚。										
整理	他花了整整一个下午整理邮票。										
增长	汽车的数量在增长。										
招聘	计划是在下月底之前招聘五名python工程室。										
真正	你的真正目的是什么？										
曾	我曾在一家饭店工作过。										
式	美式早餐。										
直接	你说话很直接。										
指	不要指别的人。										
正式	这封信是用正式文体写的。										
支持	我全心全意支持你。										
全心全意											
知识	只有学习才能获得知识。										
证明	我没法证明那个。										
值	你的提议值得考虑。										
提议											
渐渐											
造											
工具	这些工具是用来造家的。										
用来											
分享	我不想和一个陌生人分享旅馆房间。	请你们和大家分享一下你们的成功的经验。									
仔细											
专门	他专门研究西方史。										
祝贺	请接受我对您今天的成功祝贺。										
嘴											
组织	谁组织了这次会议？	世界贸易组织									
困	我觉得很困。										
帽子	把帽子戴上。										
戴	他的帽子没戴正。										
汗											
擦掉	擦掉你脸上的汗。										
赚	你一年赚多少？										
深	这个湖有多深？	深夜不去睡觉？									
敲	请你们敲门。										
入口	博物馆的入口在哪儿？										
害怕											
丢	他害怕丢钱。	你的手机丢了？									
害怕											
窄	这条路太窄。										
作为	这个座位有人吗？										
主意	我有一个好主意。										
字体	他的字体很整齐。										
整齐	他用五分钟就已穿戴整齐了。										
弄	我的房间很乱，我必须把它弄整齐。										
预算	我们用少的预算旅行。										
逐渐	我的计划逐渐成熟。										
周围	这房子不特别美丽，但我喜欢它周围的环境。	我看了看周围。									
信任	我信任我妈妈。										
轻	由比水轻										
除非	除非有人跟他说话，他不说话。	除非他先道歉，否则我不道歉。									
会员											
会员费	参加不用会员费。										
会员	有五分之四的会员反对这个计划。										
篮球											
播	我看了篮球电视播的篮球赛。										
广播	我喜欢听广播。										
吵	我不可以吵， 宝宝在睡觉。										
棵											
树	院子里有三棵树。										
排列	排列顺序										
租	他要租一辆车。										
寒假	我寒假过的很愉快。										
终于	饭终于做好了，我快饿死了。	经历过很多次失败以后，他终于成功了。	他失败了很多次，当从来没有放弃。								
几乎	除了我，几乎没有人知道这件事。										
放弃											
博学家	LeonardoDaVinci是博学家。										
浪费	你不该浪费你的时间。	虽然他家很有钱，但是他从来不浪费钱。									
适应	我会适应新的生活方式。	不适应市场变化。									
分手	分手以后，他们再也没说过话。										
上大学	上大学以后，我再也不没花父母的钱。										
去世	从父母去世以后，他再也没回过老家。										
原来	难怪老板这么生气，原来他丢了很多钱。										
其次	我最喜欢吃苹果，其次才是草莓。										
经验	他有丰富的经验。	他是一名医生，已经二十年工作了，所以经验丰富。									
视力	请验我的视力。										
验											
表达	语言表达思想。	你能用英语表达自己吗？									
过程											
乒乓球											
饮料	我想喝点热的饮料。										
如今	如今，人们公认这是个错误。										
面临	他面临着许多困难。										
竞争	如今，银行业面临许多竞争。										
紧张	别紧张！	你看起来很紧张。									
观众	所有的观众站起来鼓掌。										
鼓掌👏											
素食者	我是素食者。只要没有肉，都可以。										
只要											
研究生	他不是罗马大学的研究生吗？										
握手	和我握手。										
握	握着我的手。										
坚持	她坚持让我们走。										
积极											
形容											
形容词	这名形容词积极的。										
误会	我们不想有任何误会。										
出发	他出发去加拿大了。										
误	我们误认为他是美国人。	他把我哥哥误认为我。									
嗽											
亥											
羡慕	她羡慕我。	我真羡慕。你多美啊！									
垃圾	别忘了吧垃圾拿出去。										
桶											
垃圾桶	在台湾的路垃圾桶不多。										
弹	我会弹钢琴。										
判断	我无法判断距离。										
吉他	我想弹吉他。										
孤单	你看起来很孤单。										
乘坐	我出门乘坐公共交通工具。										
人生											
得意											
铁意	人生有得意时也有失意时。										
肚子	我打了他的肚子。										
然而											
反正	反正已经太晚了。										
密码学											
密码	我的电脑密码时1234。	检查一下用户名和密码没有填错。	能不能请你告诉我Wi-Fi的密码呢？								
用户名											
出差	他在这里出差。										
改良											
全部	这个新的市场可能改良全部工业。										
闹	因为太闹，所以我睡不着觉。										
之类的	越来越多的人不吃快餐像KFC之类的。	一看就知道她很有钱，穿的都是Armani，Gucci之类的衣服。									
菠萝	西瓜，菠萝，葡萄等等，都是我喜欢的水果。										
明星											
功夫	Jackie Chan, Bruce Lee, Jet Lee等，都是中国有名的功夫明星。										
故宫											
印度											
巴西	越南，印度，中国等国家都很穷。										
抱歉	抱歉，我迟到了。	我很抱歉打扰你了。									
流泪	他流泪看着信。										
商量	我和他商量我的报告。										
例如											
泪	在座的人全都被感动流下了泪来。										
奖金	他把奖金存到银行了。										
奖	他赢了三等奖。										
取消	航班取消了。	我们必须取消我们去波兰的旅行。									
通话	我该取消通话吗？										
远足	我们应该取消这次远足。										
舟											
航											
地址	这是他的公司地址。										
尽管	需要什么尽管说。	尽管下着雨，他还是出去了。									
方面	这是我喜欢我妹妹的一个方面。										
骆驼	骆驼是沙漠之舟。										
尽											
安全	这么说是安全的。	最重要的是安全。									
极其											
即	春节，即农历新年。										
农历	1988年是农历的虎年。										
即使	即使下雨，我也会去那里。	即使是一个孩子都能理解。									
放轻松	有时可以放轻松一下。	我看，你的工作轻松得很。									
松鼠											
其中	这些草莓其中一般都新鲜。	我班上有二十学生，其中三个是上海人。									
矮	我妹妹很矮。	我女朋友漂亮是漂亮，就是个子有点矮。									
失望	老师对结果非常失望。										
阅读	我继续阅读。	我们老师教阅读和写作。									
呆	他呆在他阿姨家。										
吃惊	我感到吃惊。										
寒假	你寒假过得愉快吗？										
列											
亲戚	穷人无亲戚。	我很喜欢访问我的亲戚。									
吸引	他知道如何吸引去他的听众。										
失业	我失业了。	我代付已半年失业了。									
爱情	给爱情开门。										
搬	你能不能自己办这个桌子吗？	我父母帮我搬了家。									
搬家											
报纸											
当时	他当时一个人。										
石											
抬											
破											
杯子	桌上有个破杯子。										
变化	变化太小，察觉不出来。										
表演	你们喜欢这个表演。	他对她今天表演不满意。									
宾馆	请帮我叫宾馆保安。										
撞	狗被车撞了。										
墙	他跳过了墙。	他想把画挂在墙上。									
收到	我们希望早日收到你的支票。										
支票											
不客气											
层	他的新家在第三十层										
玩具	玩具部门在第三层。										
公里	从我家到车站的距离是两公里。										
特点											
性别	把你的姓名，年轻和性别写下来。										
成绩	他的化学成绩很好。										
命	猫有九命。										
奥地利											
维也纳	维也纳是奥地利的首都。										
校长											
衬	你的衣服不合衬。										
衬衫	请把衬衫脱了。										
脱											
出租车	他帮我打到一辆出租车。										
答案	两个答案都正确。	告诉我正确的答案。									
正确	正确说法										
钢铁											
重点	钢铁是重点产业。										
重新	这家工厂不久就要重新开工了。										
出现	他没有在派对上出现。										
电视	电视代替了收音机。										
吸烟											
平时	你平时下班几点到家。										
厨房	我家有两个厨房。										
词语	我以前从来听到这个词语。										
打扫	打扫厨房										
说谎	别说谎！										
平台											
通过	他们是通过这个平台来推广产品的。	总的来说，我们的心产品很受到年轻人的欢迎。									
顾客	顾客永远是对的。										
刀	请借我你的刀。										
刃											
究竟	没有汽车你究竟是怎样来的？										
切	他用刀切了肉。										
灯	等到灯变为黄色。	台灯									
虫	我已经长打了玩虫了。										
符合	这个沙拉符合我的口味。										
沙拉											
电梯	我在电梯里面闻到臭味。										
臭味											
黄金											
铁	黄金比铁重。										
管理											
合											
合作	谢谢你的合作。										
顺序	顺序的事情是什么了？										
月光											
硕士	他是理科硕士。										
理科											
文科	我是一个文科毕业生。										
开玩笑	这绝非是开玩笑。										
绝非											
为了	她结婚是为了钱。	为了什么目的？									
邮件	我给你发了封邮件。										
电子邮件	我只想查一下我的电子邮件。										
由于	由于天气不好，我们不出去。										
如此	我希望如此。										
逛	他陪了我逛公园。										
 操	他每天洗一个冷水澡。										
活泼	有些人到五十岁就老了，可有些人八十岁还非常活泼。	我爷爷非常活泼。									
传真	我前几天收到你的传真。										
蟑螂	有一只蟑螂在我的汉堡里。										
直播	苹果产品发布会直播。										
果然	他说他会来的，果然来了。										
魔	道高一尺，魔高一丈。										
路由器											
限制	怎么用路由器限制网速?										
香蕉	你吃过香蕉派吗？										
相同	你和我有相同的想法。										
存	我在银行说：我想存点儿钱。										
存在	爱存在吗？										
幸福	幸福是什么？										
熊	这只兔子和这只熊一起生活了。										
行李箱	你能帮我吗吗拿这个行李箱吗?										
拿											
关心	每个人都关心自己国家的前途。										
选	请随便选。	选喜欢的！									
街	对街有一家旅馆。										
井	这口井里的水不多。										
季节	现在是苹果的季节。										
季风	这是季风季节。										
事故	他在事故中受伤。	事故发生在昨天。									
脊柱	他在这次事故脊柱受了伤。										
失业											
结束	这是结束。										
经过	我刚从这里经过。										
举行	举行和谈。										
举	别动！把手举起来。										
来不及	我一来不及做准备了。										
了解	妈妈必须了解孩子。										
摩天大厦											
摩	按摩										
罒											
放松	你来这里放松的吗？										
母亲	我是他的母亲。										
尼姑											
年级	你几年级？										
盘子											
脾脏											
普通	普通话										
铅笔	我有两支铅笔。										
怪	别怪我！										
妻子	他是我妻子。										
离婚											
申请	北京大学通过了我的申请。	申请表格		申请程序							
入境	他已申请入境签证。										
晴	如果天不晴，我们就不去散步。										
裙子👗	那条新裙子然他很快乐。										
姑姑	我姑姑做了一条裙子给我妹妹。	您真是太热情了。	他们受到热情的欢迎。								
热情	他对自己喜怒工作非常热情。										
服务											
服务员											
认真	那个服务员很认真。										
戋											
风扇											
海湾											
申请人											
上网	他总是上网。										
博客	在随后的博客中我会继续发展这些理念。										
理念	理念没有道理。										
声音	他的声音很好听。	狮子吼叫。									
狮子	狮子是百兽之王。										
吼叫		我在丛林中迷路了。									
丛林	狮子是丛林的王。										
正直	他是十分正直。										
十分											
百兽	如果狮子是百兽之王，鹰就是百鸟之王了。										
火药	中国首先使用火药。	首先，画一条水平线。									
线											
共享											
单车	共享单车										
摩洛哥		这个问题对我来讲很难回答。									
对……来讲	对我的女朋友来讲是第一次他去摩洛哥。										
志愿者		我一天刷两次牙。	别忘了刷牙！								
刷	刷牙										
顺便	你去买啤酒吗？顺便帮我买一盒牛奶吧。										
看望	我不能每天去看望我妈妈。										
收入	我的收入不错。										
垂	他的头发几乎垂到了腰部。										
司机											
硕士											
虽然	他虽然穷，却很幸福。	孙子									
孙	孙悟空										
猪八戒											
趟	请过来一趟。										
唐	唐山										
疼	我头疼。										
痛	你那里痛？										
提高	我的公司提高过生产水平。										
踢	踢足球										
水星											
金星											
地球											
火星											
木星											
土星											
天王星											
海王星											
架子	请把本书放在架子上。										
提醒	如果他忘了请你提醒他。										
奶牛	奶牛为我们提供牛奶。										
提供		他是一个体育爱好者。									
体育	电视的优点在于它给体育爱好者提供了更大方便。										
在于											
兆											
突然	计划突然改变。	突然开始下雨。	他突然笑了起来。								
腿	我的腿受伤了。										
温度计											
往往	事故往往起因于粗心。										
粗心											
精心											
起因											
严重	情况非常严重。	严重的严重									
以为	他们以为地球是平的。	很多人以为我三十几岁。									
中世纪											
愿意											
阴											
因此	因此我跟你说，你不要一个人去。										
酒精	酒精对司机影响很大。										
影响											
与	德国与波兰是邻国。										
期望	其他人的期望会影响我们的行为。										
行为											
月亮	地球比月亮大。	月亮已经出来了。									
急	他的病让我们急死了。	不急。									
丈											
水电费	我每个月房租不包括水电费。										
水电煤	不包水电煤										
煤											
合租	我跟我女朋友合租。										
供应商	我们谈一谈另外一个供应商。										
同龄	我和他同龄。										
玩伴	他是我的童年是玩伴。										
童儿											
同年	我和他同年。										
批评	几乎没有人会批评他。										
观点	我不同意你的这个观点。										
将于	我们将于下周日结婚。										
发行	新邮票将于下个月发行。										
疯	他疯了。										
共产主义	我爷爷相信共产主义。										
马克思	共产主义是以马克思主义为基础。										
开放	图书馆每周五对读者开放。										
差异	他的意见和我的意见没有多大差异。										
看情况											
出口	我们主要的出口资是大米。										
制造	中国制造。										
中间											
主要	我么接所有主要的信用卡。										
照顾	谁照顾爷爷？										
正常	他的正常的工作日十七小时。										
值得	那值得考虑。										
职业	我职业是歌手。										
卡车	路中间有一辆卡车。										
童真											
重视	我重视准时。										
倍	五的四倍是多少？										
从张远看											
物价											
中海											
太平洋											
组成	波兰组成十六省份。										
大洲	地球上有七大洲。										
欧洲											
欧元											
美洲											
共和国	南非共和国										
美洲											
南美洲											
北美洲											
尊重	我们互相尊重。										
物理学	物理学研究作用于物体上的力。										
物体	UFO代表不明飞行物体。										
飞行	起火原因不明										
作用											
种	图太干了，不能种植物。										
后缀											
前缀	西班牙的国际好吗前缀是三十四。										
乖	乖乖狗										
加仑											
兼	她兼做导师工和研究工作。										
羔	一般的说，我喜欢羔羊肉胜过猪肉。										
呆	您们呆多久？	我爱你胜过他爱你。									
胜过	我喜欢发育胜过波兰语。										
财富	健康胜过财富。	是梦而已。	我昨晚做了一个奇怪的梦。								
梦	做个美梦。										
而已	我们只是好朋友而已。										
丢脸											
棒	他的新车很棒。	真棒!									
蛋黄	蛋黄是鸡蛋的黄色的部分										
部分											
错误	没有错误										
纠正	如果我拼错了的话，请你纠正。										
拼错											
登机牌	我可以看看你们的登机牌吗？										
登机	你几点登机？										
调查	这一事故正在调查之中。	经过调查 ，我们发现他跟这件事真的没有关系。									
短信	现在没有人发送短信。										
如下	他的话如下：										
内容	我收到了一封短信，内容如下。										
儿童											
付款	我可以用信用卡付款吗？	你敢！									
敢	你怎么敢笑我？										
高速	高速公路										
公路											
购物	我明天要去购物。										
规定											
人类	他们也是人类。										
寒假	你寒假过得愉快吗？										
烫	我使用热水袋时不幸把脚跟烫伤。										
巧合	我不认为这是一个巧合。										
列表	最大的互联网公司列表。										
互联网	互联网公司										
怀疑	你怀疑我是间谍吗？										
间谍	他们其中一人是间谍。										
及时											
节约	我节约我有的钱。										
舞会	我不会参加舞会。										
士兵											
相处	我和大家相处。										
举办	他举办一场舞会。										
烤鸭											
黄油											
咳嗽	请医生开点咳嗽药										
公馆	这里是王公馆。										
来自	我来自波兰。										
礼貌	他一点礼貌也没有。										
即将	永远相信美好的事情即将发生。										
零钱	不用找零钱了。										
以色列	以色列是一个新的国家。										
犹太人	犹太人的国家是以色列。										
总共	总共是一年日元。										
箱子	箱子力有什么水果吗？										
游学											
渴望	男孩都渴望冒险。										
爱上	你什么时候爱上我的？										
牙医	我讨厌去看牙医。										
行星	地球不是恒星，而是行星。										
星系	每一星系都有无数的恒星。										
恒星											
而是											
无数											
暖和		不要以这来判断一个人。									
判断	我无法判断距离。										
相似	你的问题和他的相似。										
巨	从天上看下来，这条河想一想巨蛇。										
放轻松											
紧密	越南历史和中国的联系紧密。										
洋葱											
祖国	我爱我的祖国。										
数字	四在中国是一个不幸的数字。										
无辜	我当然是无辜的！										
免不了											
孤独	他觉得很孤独。										
埋怨	他的埋怨么有尽头。	他总是在埋怨。									
抱怨	中国的空气污染是的老外经常抱怨的问题之一。										
尽头											
忍心	我不忍心拒绝。										
说明	老师的说明太复杂了。										
大陆	中国大陆										
无论	无论他们说什么，我不相信他们。	无论我如何努力。									
安装	请安装Skype 。										
误会	我不想有任何误会。	千万别误会我的意思。									
千万	千万不要把这事告诉任何人！										
咸	这碗汤太咸了！										
现金	我想付现金。										
羡慕	我真羡慕。她很美啊！										
古琴											
迢	山水迢迢										
小吃											
咖啡因											
盐	没有盐！	你能不能少放点盐？									
占线	可惜电话占线。										
年代	在越南其实年代有很多穷人。	二十年代									
中庸											
大脑	他的大脑看来功能正常。										
爆炸	爆炸原因是什么？	我的大脑爆炸了！									
监狱	你在监狱做什么？										
狱警											
著名											
传输	传输文件										
哎	哎，马上就要考试了。										
唉	唉呀，我差点忘记了。										
差点											
半岛	伊比利亚半岛										
爱心	我被他对别人的爱心所感动。										
安慰	我可以安慰你。	朋友的丈夫去世了，我不知道如何安慰她。									
尉											
伸展											
伸	她伸长她的右手。										
熬夜	他习惯熬夜。	医生让我少熬夜，多休息。									
把握	买房需要耐心，但也要把握时机。	好好把握这个机会。									
时机											
包裹📦	我的家里城市太远，在哪接收不到包裹。										
例子	请给我例子。										
成果	他的努力没有成果。										
澳洲	澳洲比欧洲小。										
书桌	这张书桌是木制的。										
木制											
红宝石	他的眼睛红红的，相依对红宝石。										
没脸											
爱惜	他非常爱惜他的剑。										
掉落	秋天树叶会掉落。										
害虫	青蛙会捉多害虫。										
捉	猫捉老鼠是本能。										
本能											
悄	他是悄声说的，所以我没有听见。										
却	永远相信美好的事情却将发生。										
版码											
丑八怪											
落榜	我第二次参加高考，可是还是落榜。										
似的	不要哭得像个孩子似的。										
婴儿	那个时候，我还是个婴儿。										
根本	我根本不知道电脑是什么。	我觉得你根本不喜欢他。									
和谐											
创始	他是这个公司的创始人之一。										
培训	经过一个月的培训，她对公司业务已经比较熟悉了。										
佛僧											
僧	她决定放弃他所有的一切。出家为僧。										
首尔											
建筑🏠											
建筑学											
建筑师											
巩											
一般来说											
不常用的											
并不	她结婚三年了。她生了一个孩子，但是他并不爱她大夫。										
乐器	我弹钢琴两年了，但是我并不喜欢这种乐器。										
快乐											
并且	妈妈批评我并且告诉我以后不能说谎。										
搜索	警察正在搜索森林。										
是否	用这个方法可以确定一个人是否把一种语言说得不流利。	你问我是否很累？									
国际象棋	国际象棋是一个热门的游戏。										
热门											
坦白讲	坦白讲我不讲巴黎。										
巴黎											
标签											
签	请你们在这个地方签个子。										
保险											
尴尬	他说的话让大家都尴尬。	看见我，他很尴尬。									
人工智能	人工智能会超越人脑吗？										
音节	一个汉子，一个一节。										
晴天											
地板动作											
地板											
很值得											
体操	我起初觉得广播体操很无聊。										
起初	起初我没认出她来。										
毫不顾忌											
动机											
有争议	这个电影很有争议。										
心里	心理健康										
事实											
否定	这些事实否定你的理论。										
准许	我准许他回家										
肯定句											
否定句											
某事	做某事										
刮风	明天不会刮风。										
薄	湖上的冰太薄了，承受不了你的重量。										
重量											
成熟											
谓语											
状语											
副词											
瘦	瘦比胖好。	你一点也不胖。	一般来说，女生觉得瘦一点更好看。								
指导	谢谢您的耐心和指导!										
够了											
根据											
坚强	它是个坚强的人。										
眉毛	小伙子浓浓的眉毛，高高的鼻子，挺帅的。										
复数 											
第一人称	第一人称复数										
扔	你能扔多远？	这些苹果坏了，扔了它吧。									
单数											
玉米											
高兴											
挺酷的	我觉得但吉他挺酷的。										
酷	这部酷。	这不酷。									
薯条											
吓	吓死我了										
敢	谁敢进去？										
拜	我们就拜你为王										
仙											
归	他现在归我了！										
福地											
自由自在											
保重	保重啊大王！										
妖魔											
妖怪	你是何方妖魔？										
妖怪	口袋妖怪。										
弟子											
胡说	胡说!										
木法	弟子乘坐木筏漂洋过海。										
漂洋											
千辛万苦	历尽千辛万苦										
道术	你想学写什么道术呢？										
参禅											
猢狲											
虔诚	他是一个虔诚基督徒。										
再生的	再生的基督徒。										
分为	分为两种，一种是三十六般变化，一种是七十二般变化。										
山岳	一日之内游遍三山五月五洲四海才能是腾云。										
腾云											
喧哗	为什么在此喧哗？										
准	不准你说是我的徒弟。										
徒弟											
卧	卧虎藏龙										
藏											
佳	北方有佳人										
维基百科											
登陆	如果你没有尝试登陆，请告诉我们。										
罐	我只要和六罐啤酒啊。										
无敌	他的中国功夫是无敌的。										
宁愿	我宁愿忘记过去。	我宁愿留在家中，不愿出去散步。	这个我还是宁愿不做。								
文明	他羡慕她的文明礼貌。										
兵器											
若	草莓若冷冻就不好吃了。										
站住	站住！										
棒											
查明											
遵旨	遵旨！										
来历											
教皇	罗马教皇无权结婚。										
无权	你无权计入这里。										
陛下											
人群											
祝福											
登录											
闯祸	这样干要闯祸的！										
捉弄	他正在捉弄你呢										
捉	他捉了很多鱼，填饱了肚子。										
编辑	编辑帖子	每次编辑都要保存。									
帖子											
招收	他想我照片。										
团队	这是团队的活动，你不能不参加。										
面试	她一次面试时他很紧张，这是可以理解的。	经过两个月准备，她顺利地通过这次面试。									
爹爹	快找你爹爹去吧										
洛杉矶	我出生于东部，但现在住在洛杉矶。										
适应	到第四天我终于开始适应时差了										
性别比	中国的性别比严重失调。										
打掉	坏了女孩会答掉。										
危机											
出现											
性别比											
娶	娶不到媳妇。										
生育											
罚款	一对夫妇只能生育一个孩子，多生就会罚款。										
赡养											
偷偷	坏了女孩会偷偷打掉。										
机构	很多机构提供介绍越南新娘的服务。										
新娘											
证件											
嫁	在我的老家没有女孩子愿意嫁给他。	他嫁了我，不是因为爱我，而是我是个有钱人。									
违法											
受害者											
意识	法律意识										
风险	这种行为是存在很大的风险的。										
列表	播放列表										
证明	这证明了运动确实能给我们的身体带来健康。										
发达	头脑简单四肢发达。										
典型	老虎是猫科动物的典型。										
抑郁	我不像以前那么经常抑郁了。										
如今											
宽容											
驾照	有驾照就可以合法地开车。										
合法											
非法											
撞车	听说他有几次撞车了，虽然不严重。										
刹车	该刹车的时候，她没刹车。										
考官											
杰作	我把我的这副杰作拿给大人看。										
顶	他们回答我说：“一顶帽子有什么可怕的？”										
献											
图画											
职业	我就放弃了当画家这一美好的职业。										
修改											
不断	他不断修改自己的小说。										
测试											
领带											
通情达理	于是大人们就十分高兴能认识我这样一个通情达理的人										
唾液	唾液能帮助消化食物。										
原始	原始森林										
撒哈拉											
对我来说	这对我来说是个生与死的问题。										
喜笑颜开	他喜笑颜开地表示欢迎。										
评判员											
无意											
谦逊	我谦逊地答道。 										
即刻											
秘密	这已经不算秘密了。	即刻，对于他是从哪里来的这个秘密我发现到了一点线索。									
线索											
接着											
连接											
星球											
小行星											
天文学	当一个天文学者发现了其中一个星星，他就给它编上一个号码，例如把它称作“325 小行星”。										
望远镜	这颗小行星仅仅在 1909 年被一个土耳其天文学家用望远镜看见过一次。										
土耳其											
独裁者	幸好，土耳其的一个独裁者迫使他的人民都要穿欧式服装。										
迫使	她迫使他的人民都要穿欧式服装，否则就处以死刑。		他是否收集蝴蝶标本呀？								
蝴蝶	哦，有一只蝴蝶。	我觉得这虫子是蝴蝶幼虫。									
紫	紫蝴蝶										
牢骚	你没有真正的理由发牢骚。										
蚤											
挣	他父亲挣多少钱呀？										
幢											
法郎											
灵感											
斯拉夫语族											
奴隶											
台	台球	跳台	阳台	窗台							
蜂蜜											
蜂											
闹钟	那闹声把我唤醒了。										
零钱											
化妆	为了去舞会，他请一位化妆师来帮她化妆。										
经过	他经过这家咖啡店的时候，会想到他。										
宾语											
背景	图片的背景是一座城堡。										
改建	教育背景										
建立	建立一般包括个人信息，教育背景，工作经历等。										
税	包括税	包括税，两张机票是六千美元。									
机票											
奖金	包括奖金在内我拿了两万块钱工资。										
奶酪	我一点也不喜欢奶酪。										
邦	其它国家虽然存在，却都是蛮夷之邦。										
古时候	古时候，长城保卫着中国。										
保卫											
蛮夷											
提醒	如果我忘记了，请提醒我。										
捷径	成功没有捷径的。	走捷径。									
平	我家有一百三十平。										
肩膀	这个们只有我的肩膀那么宽。										
昏	好像我快要昏倒了。										
深圳	深圳算中国最重要诚实之一。										
束	他送给了我一束花。										
传授	老师传授给了学生很多经验。										
作用	老师的作用是传授知识。										
垃圾食品	少吃垃圾食品！										
废话	这是什么废话？	少废话，快说吧！									
唐	唐朝										
朝代	建立一个调代。	中国历史上有多少个朝代？									
破釜沉舟											
一见如故											
言而无信											
一日千秋											
所作所为	孩子们的所作所为就和他们的父母一样。										
一刀两断	我实在受不了她的所作所为，所以就和她一刀两断了。										
一见钟情	这两人一见钟情。										
室友	新室友不怎么跟朋友出去玩。										
卸载											
回头聊！											
胡志明市											
离职	下个月我离职。										
蝙蝠											
迷恋	他如果不迷恋网络游戏，就能考上好的大学。										
昆明	我如果在上海找不到工作，就会回昆明。										
公民	一般来说，十八岁以上美国公民都可以投票。										
投票	我投了民主党人的票。										
华裔											
严格来说	严格来说，他是华裔，不是中国人。										
严格	他对自己的孩子很严格。										
具体来说	具体来说，少开车有很多好处。										
打架	他经常跟同学们打架。										
固执	别这么固执！										
淘气	我受不了淘气的小孩。										
补语	“来”“去”是补语。										
公投	工头日是什么？										
版本	第一版本的词典										
纳粹											
规律											
供求	供求规律决定商品的价格。										
粽子	粽子是个越南的菜。										
实习	我正在写实习报告。	我申请了一个暑期的实习的职位。									
车牌											
牌子	在上海买得到这个牌子的手表？										
衬衫	这件衬衫太脏了，我洗不干净。										
捡	捡球是犯规的。										
犯规											
犯	你犯了个错误。										
还剑湖											
扶	你怎么把老人扶起来？										
取消	取消一个瞎子是残忍了。										
残忍	把鸟在笼子残忍不残忍？										
瞎子											
画面	这个电影画面太残忍了，我看不下去了。										
偷偷	他偷偷进了他的房间，拿到了他想要的东西										
追	如果你追到她了，我就请你喝酒。	狗追猫，猫追鼠。	他怎么追女孩子？								
举报											
饮料											
百事可乐	我觉得百事可乐是最好喝的饮料之一。										
成龙	成龙是最有名的动明星作之一。										
刺激	这个运动很刺激。	那场比赛并不怎么精彩刺激。									
硅谷											
一模一样	他们要求每个学生要一模一样。										
里斯本											
享受	你好好享受假期。										
痴呆	老年痴呆症										
休假	我下个月要休假。										
渣渣	怎么又喝这个渣渣分到一个班了？										
褐色	水是蓝色，图是褐色。										
恐怖主义											
撰写	数学是神用来撰写宇宙的语言。	撰写评价									
古典	古典音乐										
扔掉	牛奶都坏了，扔掉吧。										
天赋	虽然他不是很有天赋，可是他非常努力。										
魔法											
移民	我的爸爸是移民。										
尊重											
花卉	花卉是短暂的。										
短暂	人生十分短暂。										
摩擦	无摩擦力										
寿司	你今晚想吃寿司吗？										
警力	警力										
蟋蟀											
斗	斗蟋蟀										
黑客	朝鲜黑客										
朝鲜											
高了											
铲除	铲除政府的内部地腐败现象很有必要。										
家务	我老公周末要么睡觉，要么打游戏,从来不做家务。										
炒股	我们家人人炒股，连我奶奶也炒。										
生词	遇到生词她都要差字典。										
慌	不要慌。										
得分	我会得分。我赢了！										
连笔字											
宜家											
匿名	匿名著者										
发布	苹果发布会。										
羽绒服											
老少咸宜	这本书老少咸宜。										
广场舞											
家庭主妇	许多妇女选择了婚后当家庭主妇。										
临时											
临时保姆	这个退休的妇女是个临时保姆。										
校园	我得好好熟悉一下校园。										
沿着
	我沿着和散步。										
小路	沿着小路向南走。										
衣柜	请帮我从衣柜拿出来两件大衣。										
大衣🧥											
队伍	食堂里人真多，每个窗口都排了长长的队伍。	我看见队伍走过。									
粥	喝粥										
暴力	暴力是社会的癌症。										
贩											
毒品	对毒品说不！	贩毒品									
癌症	他不是癌症死的。	我爷爷去年死于癌症。									
大敌	癌症是人类的大敌。										
敌	他是一名无人能敌歌手。										
添加	添加联系人。										
大鼠											
爱不释手											
释											
按部就班	谈判按部就班地进行。										
谈判	商业谈判										
法官											
判	法官判他罚款无视欧元。										
安居乐业											
安然无恙	他送来消息说他安然无恙。										
无恙											
安土重迁	an sĩ trùng thiên										
百步穿杨											
白首偕老	bạch thủ giai lão										
偕老											
布拉格											
加泰罗尼亚	我能不能留在加泰罗尼亚要看公投的结果。										
升职	什么时候给你升职要看你的业绩。										
业绩	首次飞起大西洋是一项了不起的业绩。										
首次											
了不起	他以为自己很了不起。	他音乐据说是好或了不起。	她是一位非常了不起学者。								
刷卡											
购物车	我的购物车很慢了。										
炮火	冒着敌人的炮火，前进！										
吼声	老虎发出可怕的吼声。										
头脑	头脑的结构很复杂。										
借口	我没有借口。	制造借口。	找借口。								
作为	把那个作为借口。										
鹦鹉	他养一只鹦鹉作为宠物。										
宠物	我的宠物生病了。										
柠檬🍋	这个沙拉有柠檬的味道。										
沙拉🥗											
四驱车											
猫头鹰											
能静											
若曦											
思潮											
武器											
承认	承认你的错误吧！										
